last_name;first_name;gender;birth_date
Байдалюк;Олег;1;1982-09-23
Білик;Віталій;1;1972-03-02
Бірюк;Ігор;1;2001-02-16
Бойко;Віталій;1;2000-11-18
Бережецька;Алла;2;1996-04-04
Бригар;Вадим;1;1963-07-08
Білоус;Юрій;1;1988-12-29
Бурлака;Олена;2;1983-01-03
Бурдейний;Анатолій;1;1972-10-05
Васильєва;Валентина;2;1992-11-16
Васильєва;Валентина;2;1993-04-26
Васильєва;Валентина;2;1968-05-14
Васильєва;Валентина;2;2001-07-30
Волковська;Наталія;2;1993-02-04
Волошина;Ганна;2;1995-05-24
Гусак;Олена;2;1992-12-26
Гусак;Олена;2;1999-10-08
Даниленко;Юрій;1;1964-10-06
Древницький;Анатолій;1;2012-10-08
Жук;Ірина;2;1995-10-14
Зінькова;Інна;2;2005-11-07
Зінькова;Інна;2;1969-08-30
Загороднюк;Петро;1;2013-11-16
Ігнатьєва;Лариса;2;1965-04-03
Ігнатьєва;Лариса;2;1976-10-17
Ігнатьєва;Лариса;2;1999-07-26
Ігнатьєва;Лариса;2;1981-03-23
Ігнатьєва;Лариса;2;1981-09-19
Колісник;Григорій;1;2003-01-15
Колісник;Григорій;1;1992-08-24
Колісник;Григорій;1;1966-04-20
Карпенко;Віра;2;1983-02-11
Клінковська;Оксана;2;1971-11-14
Клочко;Галина;2;2012-08-05
Клочко;Галина;2;2013-01-19
Клочко;Галина;2;1989-09-06
Ковтуненко;Дмитро;1;2001-03-09
Квашук;Олег;1;1962-04-29
Курбанов;Фахурдін;1;1984-07-22
Курбанов;Фахурдін;1;1978-02-20
Кононенко;Лариса;2;1971-12-19
Когаль;Василь;1;2000-11-02
Кирилюк;Лідія;2;1979-06-22
Кирилюк;Наталія;2;1990-12-02
Кукурудза;Любов;2;1960-06-16
Курка;Віталій;1;1962-07-02
Лизак;Віталій;1;2009-02-27
Леськів;Дмитро;1;1995-07-04
Лантух;Сергій;1;1985-06-17
Левченко;Михайло;1;1979-04-28
Макогон;Олександр;1;1962-09-30
Мекекечко;Валерій;1;1984-11-17
Майборода;Олександр;1;2012-01-07
Мовчан;Євгеній;1;2005-07-06
Мовчан;Євгеній;1;1980-11-26
Мамедов;Рза;2;1961-01-12
Мельник;Ігор;1;1986-11-20
Мельник;Ігор;1;1973-02-24
Михальчук;Надія;2;1980-09-14
Михальчук;Надія;2;1981-11-04
Михальчук;Надія;2;1972-05-11
Михайлик;Сергій;1;1962-11-14
Мигулько;Оксана;1;1977-07-18
Мандрик;Анатолій;1;1968-11-10
Наконечна;Валентина;2;2000-02-08
Наконечний;Олександр;1;2001-07-20
Наконечний;Олександр;1;1997-07-14
Наконечний;Олександр;1;2000-03-06
Наконечний;Олександр;1;2007-05-10
Новосад;Ігор;1;2009-09-21
Новосад;Ігор;1;1983-08-27
Новосад;Ігор;1;1973-11-21
Новосад;Ігор;1;1964-08-08
Оплаканський;Олександр;1;1999-01-16
Орищук;Микола;1;1981-12-06
Охрименко;Світлана;2;1993-10-23
Охрименко;Світлана;2;1988-07-14
Підопригора;Сергій;1;1993-01-23
Поліщук;Михайло;1;1975-05-15
Плахотнюк;Сергій;1;1966-01-03
Патраманська;Таісія;2;1998-03-08
Плисак;Анатолій;1;1975-12-28
Плисак;Анатолій;1;1992-01-17
Росляков;Руслан;1;1963-11-12
Резнік;Віта;2;1965-05-24
Рошіян;Євгеній;1;1987-05-29
Сирватка;Юрій;1;2007-06-12
Сирватка;Юрій;1;2002-03-09
Сирватка;Юрій;1;1977-08-06
Сирватка;Юрій;1;2007-03-15
Сирватка;Юрій;1;1988-10-05
Сирватка;Юрій;1;1972-03-23
Смажелюк;Руслан;1;1989-08-12
Таран;Олег;1;2000-11-16
Телицина;Тетяна;2;2007-11-14
Телицина;Тетяна;2;1962-07-31
Телицина;Тетяна;2;2013-11-09
Твердохліб;Ольга;2;1971-12-17
Терещук;Василь;1;1971-10-22
Ткачук;Оксана;2;2002-06-05
Ткачук;Оксана;2;2005-10-04
Федосова;Ольга;2;2000-06-27
Фадієвський;Михайло;1;2007-05-20
Фадієвський;Михайло;1;1979-07-24
Франюк;Наталія;2;2001-11-04
Халімон;Ігор;1;1981-04-07
Цвик;Петро;1;1996-08-01
Цвик;Петро;1;2004-09-28
Цвик;Петро;1;1970-05-21
Чернега;Людмила;2;1968-03-20
Шароварська;Наталія;2;2003-12-01
Ясінська;Тетяна;2;1983-03-01
Ясінська;Оксана;2;1983-07-15
Ясінська;Оксана;2;1995-11-04
Ясінська;Оксана;2;1984-07-15
Анісімова;Алла;2;1965-10-18
Зайцев;Микола;1;1969-11-15
Юрченко;Василь;1;2004-02-21
Зайцев;Микола;1;2011-06-19
Мовчан;Євгеній;1;2005-11-08
Мекекечко;Валерій;1;1977-10-25
Ковбас;Сергій;1;1985-05-29
Волошин;Анатолій;1;1964-02-05
Стасюк;Галина;2;1972-08-18
Грабовенко;Сільвія;2;1965-06-13
Ліва;Неля;2;1976-11-11
Харковенко;Інна;2;2009-11-19
